S1_ZINDO,S1_TDDFT,S1_ML
2.9619,3.7225,3.66503560590473
3.5934,4.5139,4.36318521454105
2.4884,3.4091,3.36960777300316
3.744,3.8312,4.16455320259082
2.9299,3.0254,3.47493485069416
3.1732,4.15,4.0774011427314
3.9355,4.3623,4.67762053579414
3.2891,3.8886,3.68013904515496
3.2751,4.0536,3.94140291110807
3.3452,4.3795,4.32973205558933
3.4865,4.8154,4.34702429658104
3.4042,4.8894,4.55492619322881
2.7549,3.4536,3.31784649049586
3.5497,4.7035,4.0127678766161
3.5621,4.231,4.41156911874576
3.2173,4.3547,4.19852553940407
3.4843,4.7126,4.49787299483338
3.5314,4.7056,4.65769660615404
3.1562,3.8765,3.77380588462163
2.4973,3.173,3.21584708051019
2.4945,3.1892,2.99577404634869
3.0611,3.3846,3.49658191606028
3.4428,4.0148,3.84388209173302
3.6747,3.2723,3.95830048520162
3.2378,4.2904,4.23182859915328
2.99,3.6188,3.57459739127679
2.4995,3.1188,3.22988283925051
2.5039,3.2528,3.28435270212908
4.2097,4.9334,4.70799253349578
3.5869,4.8205,4.77016826460207
3.7597,5.2059,4.63667984381856
3.4527,4.347,4.28895903573253
3.282,4.0798,4.53833889728743
3.2032,3.7721,4.00076939859961
3.2116,3.7561,3.74286864823566
2.8957,3.6611,3.49963159776823
2.5846,3.429,3.33779859700583
3.4865,4.4783,4.49767346865416
3.312,4.5119,4.33206926383384
2.9705,3.6165,3.98730662801814
2.4856,3.3885,3.35634366950656
3.6384,4.8026,4.90091403298943
3.5147,4.6803,4.49610792200298
2.6618,2.9219,3.40654644418104
2.5035,3.3552,3.29843929226261
3.882,4.6443,4.3459276622266
3.598,3.8658,4.31895190680887
2.975,3.4932,3.49184012358434
2.9825,3.4916,3.82948761938844
2.9989,3.6101,3.67021474087797
2.324,3.068,3.24079001034397
2.8786,3.5379,3.61133014142535
3.7213,5.025,4.67998368547249
3.4651,4.4684,4.35671995640853
2.8161,3.8001,3.82595086266214
2.8524,3.9448,3.87412302693298
3.0298,4.0005,4.02357872076257
1.8498,2.399,2.65266010966221
3.1117,4.1852,4.07615594312575
3.3591,4.3598,4.2921843198535
3.7302,4.2306,4.3729114190049
3.4972,4.2973,4.29612866351634
3.8082,4.7256,4.48168162660899
2.4491,2.5624,2.92004956943202
2.5003,3.3976,3.39772606996738
2.5014,3.3991,3.57693482105119
3.3905,4.3693,4.38785375061692
3.3751,4.367,4.30519460950108
2.3532,3.2762,3.38195545755155
2.6627,3.0972,2.87163102358553
2.503,3.3731,3.31644152084209
2.5173,3.3767,3.44423317991552
2.9549,3.7484,3.62535422891346
3.4443,4.3605,4.39958637021935
2.9465,3.7931,3.72722764374684
3.2509,4.2343,4.22611009240171
3.369,4.416,4.41392576167869
3.3125,3.4729,3.71453718609614
2.6177,3.6834,3.55867988591917
3.3634,4.3799,4.28182033939803
2.4976,3.3488,3.31788838671185
2.4948,3.3361,3.31005226824585
3.6805,3.8811,4.21109372721294
2.3901,3.1869,3.26311555993729
3.2135,4.0817,3.91430893275482
3.4316,4.4116,4.43161296632877
3.041,3.7009,3.91115581489447
3.0736,3.7957,3.77073643072267
3.5219,4.0615,4.16767548358467
3.5464,4.711,4.74112924975134
3.5456,4.7131,4.6611514145089
3.3742,4.7106,4.56882001034754
